gene	zcount_DGC1	zcount_DGC2	zcount_DGC3	zcount_DGH1	zcount_DGH2	zcount_DGH3	zcount_dugill1	zcount_dugill2	zcount_dugill3	zcount_WGC1	zcount_WGC2	zcount_WGC3	zcount_WGH1	zcount_WGH2	zcount_WGH3	zcount_wtgill1	zcount_wtgill2	zcount_wtgill4
LOC110439544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
