gene	zcount_A1	zcount_A2	zcount_A3	zcount_A4	zcount_A5	zcount_A6
pde1a	0	0	0	0	0	0
pde1ca	0	0	0	0	0	0
pde1cb	0	0	0	0	0	0
pde2a	0	0	0	0	0	0
pde3a	0	0	0	0	0	0
pde4a	0	0	0	0	0	0
pde4ba	0	0	0	0	0	0
pde4ba_1	119.993908929509	114.085547848824	66.1066001154245	71.5568354083471	81.005590930866	83.2709436714505
pde4ba_2	0.470378449238915	0	1.37926086804645	1.10041267928396	0	10.2544898731782
pde4bb	0	0	0	0	0	0
pde4ca	0	0	0	0	0	0
pde4ca_1	61.2407914857368	75.6825655920467	43.3352257112533	78.1337001199222	87.7955021628461	66.3748340811525
pde4d	0	0	0	0	0	0
pde4d_1	2.99801377342028	3.73995921951429	1.12703660000643	3.37192928853106	5.49053475691148	5.159860096459
pde5aa	0	0	0	0	0	0
pde5ab	0	0	0	0	0	0
pde6a	0	0	0	0	0	0
pde6b	0	0	0	0	0	0
pde6c	0	0	0	0	0	0
pde6d	0	0	0	0	0	0
pde6d_1	496.918062907722	545.519041753231	571.404428442111	436.887246711463	424.845999083478	520.318877293018
pde6d_2	187.210185642396	399.701438259851	427.355519813886	340.160978730201	341.632706793662	313.080450282272
pde6g	0	0	0	0	0	0
pde6h	0	0	0	0	0	0
pde7a	0	0	0	0	0	0
pde8a	0	0	0	0	0	0
pde8b	0	0	0	0	0	0
pde9a	0	0	0	0	0	0
pde9al	0	0	0	0	0	0
pdf	0	0	0	0	0	0
pdgfaa	0	0	0	0	0	0
pdgfab	0	0	0	0	0	0
pdgfab_1	15.230166072661	30.6703184579793	18.3214150544558	23.5704518313899	23.3281770397766	25.2715674504026
pdgfbb	0	0	0	0	0	0
pdgfbb_1	1.74578341824321	7.46683937199058	1.96886534560486	4.86952813998318	11.626224148662	3.54395249289009
pdgfbb_2	10.3277683899061	10.4097218924051	7.34144476708342	6.43247038824106	11.1765607421788	19.2370653947274
pdgfc	0	0	0	0	0	0
pdgfc_1	1.60085547263124	3.7087766517643	3.12939125558845	2.94255740685027	5.19726752784248	3.93602988878883
pdgfc_2	1.28746048592566	4.28765977994973	3.93243610159924	3.57664385142406	7.48883169355786	5.7242508753003
pdgfd	0	0	0	0	0	0
pdgfra	0	0	0	0	0	0
pdgfra_1	1.40361330428542	2.03238531680314	1.02893154841738	2.05227551260382	2.15187402986097	1.61049922315261
pdgfrb	0	0	0	0	0	0
pdgfrl	0	0	0	0	0	0
pdgfrl_1	6.80887732657121	8.60424226645459	13.9151664162711	1.44807479516493	14.7369360259556	22.0169705739688
pdha1a	0	0	0	0	0	0
pdha1a_1	598.925644366053	439.054343968873	268.847738037818	447.725661683672	442.554178911848	458.922972922509
pdha1b	0	0	0	0	0	0
pdha1b_1	5.89594108774409	1.4847176223998	3.00665978945639	7.1963903955977	8.3223935129587	2.35303469052516
pdhb	0	0	0	0	0	0
pdhx	0	0	0	0	0	0
pdia2	0	0	0	0	0	0
pdia3	0	0	0	0	0	0
pdia4	0	0	0	0	0	0
pdia5	0	0	0	0	0	0
pdia6	0	0	0	0	0	0
pdik1l	0	0	0	0	0	0
pdk1	0	0	0	0	0	0
pdk2a	0	0	0	0	0	0
pdk2a_1	24.5253958552125	19.6681604521751	41.2585025595259	15.0334051914483	21.5645841869722	29.357932552017
pdk2b	0	0	0	0	0	0
pdk3a	0	0	0	0	0	0
pdk3b	0	0	0	0	0	0
pdk4	0	0	0	0	0	0
pdlim1	0	0	0	0	0	0
pdlim2	0	0	0	0	0	0
pdlim3a	0	0	0	0	0	0
pdlim3a_1	10.782160986837	3.37561297416794	9.11447819309313	14.9980548837866	32.482018204982	19.7273678635927
pdlim3b	0	0	0	0	0	0
pdlim3b_1	3.10935389876453	5.65995997267876	5.64408065740059	0.519577444216568	2.40349826150224	7.13531572147102
pdlim4	0	0	0	0	0	0
pdlim5a	0	0	0	0	0	0
pdlim5b	0	0	0	0	0	0
pdlim7	0	0	0	0	0	0
pdp1	0	0	0	0	0	0
pdp2	0	0	0	0	0	0
pdp2_1	73.9057639489081	86.4930499360239	78.1940341077375	71.2975715119401	81.9036541833954	63.5264898046179
pdpk1a	0	0	0	0	0	0
pdpk1b	0	0	0	0	0	0
pdrg1	0	0	0	0	0	0
pds5a	0	0	0	0	0	0
pds5a_1	334.077279711789	311.738899102331	220.616421467469	371.777574657503	342.912920422463	310.891857892949
pds5b	0	0	0	0	0	0
pdss1	0	0	0	0	0	0
pdss2	0	0	0	0	0	0
pdx1	0	0	0	0	0	0
pdx1_1	6.73345901026934	3.21170685683019	12.3884514068576	34.2846083949113	24.0037458145119	11.8161417130704
pdxdc1	0	0	0	0	0	0
pdxka	0	0	0	0	0	0
pdxkb	0	0	0	0	0	0
pdxp	0	0	0	0	0	0
pdyn	0	0	0	0	0	0
pdzd11	0	0	0	0	0	0
pdzd11_1	74.4027791295713	116.810733919008	105.207217761873	128.998291176164	141.007989228168	148.638082920764
pdzd2	0	0	0	0	0	0
pdzd2_1	9.36664864290119	44.288615215797	6.58523040256875	27.2945470970323	18.9687970633187	29.7906174323651
pdzd3a	0	0	0	0	0	0
pdzd3b	0	0	0	0	0	0
pdzd4	0	0	0	0	0	0
pdzd4_1	0.681313296069939	1.91666541061538	0.475659935642543	0.341545252751809	0.421318479904939	0.446706075646382
pdzd7a	0	0	0	0	0	0
pdzd7a_1	18.372955374078	15.4783577974407	0.544180310767454	1.30248655854353	21.0879720603229	19.643697787505
pdzd7b	0	0	0	0	0	0
pdzd8	0	0	0	0	0	0
pdzd8_1	22.6680036096289	18.3195428435925	8.8452178951215	20.6570261245405	22.5342758326454	24.698620385232
pdzk1	0	0	0	0	0	0
pdzk1ip1	0	0	0	0	0	0
pdzph1	0	0	0	0	0	0
pdzrn3a	0	0	0	0	0	0
pdzrn3b	0	0	0	0	0	0
pdzrn3b_1	10.6870519202318	16.5597195865586	12.6161802930131	17.0464781983007	15.170163473674	10.8290198660728
pdzrn4	0	0	0	0	0	0
pea15	0	0	0	0	0	0
peak1	0	0	0	0	0	0
pear1	0	0	0	0	0	0
pebp1	0	0	0	0	0	0
pebp4	0	0	0	0	0	0
pecam1	0	0	0	0	0	0
pecr	0	0	0	0	0	0
pef1	0	0	0	0	0	0
peli1a	0	0	0	0	0	0
peli1b	0	0	0	0	0	0
peli1b_1	657.439156097503	670.886299253141	461.769413785108	523.849525424571	529.321531946098	619.375607018273
peli2	0	0	0	0	0	0
peli3	0	0	0	0	0	0
peli3_1	62.6298933333065	53.3601679026202	53.2306262621442	53.6169534679243	58.4455217376095	40.0964897936645
pelo	0	0	0	0	0	0
pelp1	0	0	0	0	0	0
pemt	0	0	0	0	0	0
penka	0	0	0	0	0	0
penkb	0	0	0	0	0	0
peo1	0	0	0	0	0	0
pepd	0	0	0	0	0	0
per1a	0	0	0	0	0	0
per1b	0	0	0	0	0	0
per2	0	0	0	0	0	0
per3	0	0	0	0	0	0
perp	0	0	0	0	0	0
pes	0	0	0	0	0	0
pes_1	177.097119228585	248.235521456683	233.993076614979	228.241211766773	160.28621188293	177.276630210038
pet100	0	0	0	0	0	0
pet117	0	0	0	0	0	0
pet117_1	0	0	0.60586176548368	1.45012009854794	0	0
pex1	0	0	0	0	0	0
pex10	0	0	0	0	0	0
pex11a	0	0	0	0	0	0
pex11a_1	24.0784098720654	21.5766665323989	12.2113132235686	32.1503334892351	22.3699504860397	20.5902714689536
pex11b	0	0	0	0	0	0
pex11g	0	0	0	0	0	0
pex12	0	0	0	0	0	0
pex13	0	0	0	0	0	0
pex14	0	0	0	0	0	0
pex16	0	0	0	0	0	0
pex19	0	0	0	0	0	0
pex2	0	0	0	0	0	0
pex2_1	23.8002992171191	17.1265898687735	18.2107012172498	15.7475655073209	18.7318819315501	21.3777487495808
pex26	0	0	0	0	0	0
pex3	0	0	0	0	0	0
pex5	0	0	0	0	0	0
pex5_1	132.868327934393	143.164219017225	97.3193764089957	140.689568066143	149.166781949945	174.122790553229
pex5_2	64.9431228806507	79.2584751395632	44.3685676140845	74.8018915613379	36.3952604998064	28.8937381704048
pex5la	0	0	0	0	0	0
pex5la_1	2.16112673371745	1.07288212573273	0.301758797018956	3.25014606681233	1.67052851379825	0.177119037556238
pex5la_2	6.25323060173444	1.3901811980835	1.72864185937658	4.95019408424869	3.89624087779967	4.56586265078586
pex5la_3	6.70849101465866	1.85022315442456	1.87341736772068	5.82919146325601	4.01019258631896	5.57137228223922
