gene	zcount_h-brain-1_S11	zcount_h-brain-2_S12	zcount_h-brain-3_S13	zcount_h-testis-1_S16	zcount_h-testis-2_S17	zcount_n-testis-1_S33	zcount_n-testis-2_S34	zcount_n-testis-3_S35	zcount_wt-brain_S44
rpusd2	0	0	0	0	0	0	0	0	0
rpusd4	0	0	0	0	0	0	0	0	0
rpusd4_1	75.4765004426434	71.553886943091	67.9405699743153	76.4047779564781	110.464175859254	95.4793882619542	8.65654103673738	19.4069278222802	52.5161829099478
rpz	0	0	0	0	0	0	0	0	0
rpz2	0	0	0	0	0	0	0	0	0
rpz3	0	0	0	0	0	0	0	0	0
rpz4	0	0	0	0	0	0	0	0	0
rpz5	0	0	0	0	0	0	0	0	0
rpz6	0	0	0	0	0	0	0	0	0
rqcd1	0	0	0	0	0	0	0	0	0
rrad	0	0	0	0	0	0	0	0	0
rrad_1	50.2416763537471	59.6467678058607	56.0514181175453	10.1870450805849	12.6588427970065	8.49868729490872	19.1946285889126	19.4635128472343	59.5267714707625
rraga	0	0	0	0	0	0	0	0	0
rragca	0	0	0	0	0	0	0	0	0
rragca_1	69.5293793523952	61.969742626006	103.544333365459	302.524648110677	288.994163991833	324.414228336103	310.025386646357	268.41029571762	130.080383205544
rragcb	0	0	0	0	0	0	0	0	0
rragd	0	0	0	0	0	0	0	0	0
rras	0	0	0	0	0	0	0	0	0
rras2	0	0	0	0	0	0	0	0	0
rras2_1	21.6312023141369	46.9382447553328	121.435184519946	33.6830338325799	58.8471729460968	47.7709353417167	50.7284445732265	37.1310477140248	86.7184744743988
rrbp1a	0	0	0	0	0	0	0	0	0
rrbp1b	0	0	0	0	0	0	0	0	0
rrbp1b_1	26.8834823819179	8.10838660494805	50.9026905242428	178.703876433382	37.4981241868599	9.78806221786184	23.1748763920778	5.71267724167482	21.1878276609725
rreb1a	0	0	0	0	0	0	0	0	0
rreb1b	0	0	0	0	0	0	0	0	0
rrh	0	0	0	0	0	0	0	0	0
rrm1	0	0	0	0	0	0	0	0	0
rrm2	0	0	0	0	0	0	0	0	0
rrm2b	0	0	0	0	0	0	0	0	0
rrm2b_1	494.03831320979	416.596039797447	405.494237669683	75.9365575304893	120.096965527225	45.6469590940434	99.0386196756384	55.5561418909706	545.647088174492
rrn3	0	0	0	0	0	0	0	0	0
rrnad1	0	0	0	0	0	0	0	0	0
rrp1	0	0	0	0	0	0	0	0	0
rrp12	0	0	0	0	0	0	0	0	0
rrp15	0	0	0	0	0	0	0	0	0
rrp36	0	0	0	0	0	0	0	0	0
rrp36_1	127.794640090346	89.9414664167277	100.195713505064	317.879656329606	409.156970123661	376.82467076323	350.538393803725	344.199234683817	134.689203284418
rrp7a	0	0	0	0	0	0	0	0	0
rrp8	0	0	0	0	0	0	0	0	0
rrp8_1	23.6555695617668	25.3139102376495	26.3311483781744	55.3134680837757	155.570707587338	61.8311575396378	188.035032128057	91.4528427266757	25.6260194263767
rrp9	0	0	0	0	0	0	0	0	0
rrp9_1	41.7119569136634	10.2565795467644	18.4125191231938	172.991930284682	78.0645153132463	233.885583137736	158.015448125614	189.577086880634	45.7752229888354
rrs1	0	0	0	0	0	0	0	0	0
rs1a	0	0	0	0	0	0	0	0	0
rs1b	0	3.47343011189462	0	0	0	0	5.88298528856672	0	0
rsad1	0	0	0	0	0	0	0	0	0
rsad1_1	41.4446027471627	52.7258365853512	90.6675592136923	57.8496014619683	69.6391246646781	60.7741853552823	85.7772155922844	78.548111005559	38.1005763030998
rsad2	0	0	0	0	0	0	0	0	0
rsf1a	0	0	0	0	0	0	0	0	0
rsf1b.1	0	0	0	0	0	0	0	0	0
rsg1	0	0	0	0	0	0	0	0	0
rsl1d1	0	0	0	0	0	0	0	0	0
rsl1d1_1	278.665090436989	198.636784523974	240.143554490587	878.388261475633	1150.11066250782	927.091205661907	1092.48875241587	844.031502270548	225.466177501706
rsl24d1	0	0	0	0	0	0	0	0	0
rsph1	0	0	0	0	0	0	0	0	0
rsph1_1	75.8345422642167	102.893898143767	37.5111910186209	887.223509812915	572.03444622016	816.892763450786	687.293548611695	731.926659315534	72.8059131018778
rsph10b	0	0	0	0	0	0	0	0	0
rsph10b_1	2.02933311576979	3.68008080314833	4.75664247079867	254.251727849993	139.80494132356	206.60334723773	209.284684471017	174.880198898832	3.00902098521208
rsph14	0	0	0	0	0	0	0	0	0
rsph3	0	0	0	0	0	0	0	0	0
rsph4a	0	0	0	0	0	0	0	0	0
rsph9	0	0	0	0	0	0	0	0	0
rspo1	0	0	0	0	0	0	0	0	0
rspo1_1	2.5638300381482	7.4389771753921	3.73922773033954	12.0726208247382	18.7089794274473	13.5888767199392	17.9300210607058	11.8825469826183	6.08248558295754
rspo2	0	0	0	0	0	0	0	0	0
rspo2_1	52.9081908748905	44.2827743349115	111.956919067005	189.075885851601	95.2514196893309	289.188621064649	195.318236672202	149.152903815401	66.1924676089583
rspo3	0	0	0	0	0	0	0	0	0
rspo4	0	0	0	0	0	0	0	0	0
rspry1	0	0	0	0	0	0	0	0	0
rspry1_1	79.1546892774533	54.5983263594937	49.7243903017676	74.5852134850474	85.1678548605578	73.0852915506982	80.4446550641073	88.8831869001058	66.449373648193
rsrc1	0	0	0	0	0	0	0	0	0
rsrc2	0	0	0	0	0	0	0	0	0
rsrp1	0	0	0	0	0	0	0	0	0
rsu1	0	0	0	0	0	0	0	0	0
rtca	0	0	0	0	0	0	0	0	0
rtcb	0	0	0	0	0	0	0	0	0
rtel1	0	0	0	0	0	0	0	0	0
rtf1	0	0	0	0	0	0	0	0	0
rtfdc1	0	0	0	0	0	0	0	0	0
rtkn2a	0	0	0	0	0	0	0	0	0
rtkn2b	0	0	0	0	0	0	0	0	0
rtn1a	0	0	0	0	0	0	0	0	0
rtn1b	0	0	0	0	0	0	0	0	0
rtn2a	0	0	0	0	0	0	0	0	0
rtn2b	0	0	0	0	0	0	0	0	0
rtn3	0	0	0	0	0	0	0	0	0
rtn4a	0	0	0	0	0	0	0	0	0
